adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
false,/qfAfE5auxsuxhxPpnETRAyTP5ff.jpg,"[28,53,878]",822119,en,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",1794.8035,/pzIddUEMWhWzfvLI3TwxUG2wGoi.jpg,2025-02-12,Captain America: Brave New World,false,6.131,1091
false,/a3VFDThApTb4lpHfGJQ0oYnJdz8.jpg,"[53,28]",1151470,en,The Vigilante,"Returning from Afghanistan, Jessica, a Spec OPS Marine, finds herself in a war she never imagined and discovers middle America suburbia has changed when her thirteen year old sister, Aimee, is abducted by sex traffickers.",1718.4861250000001,/pWuGTUPJfxqJffRxvAYNNvI2SRx.jpg,2023-09-08,The Vigilante,false,5.9,21
false,/gsQJOfeW45KLiQeEIsom94QPQwb.jpg,"[28,53]",1125899,en,Cleaner,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.",1510.943375,/2KIqFpvjVI6mNBTQw7MYZdzRYvs.jpg,2025-02-19,Cleaner,false,5.8,46
false,null,"[53,878]",1165067,en,Cosmic Chaos,"Battles in virtual reality, survival in a post-apocalyptic wasteland, a Soviet spaceship giving a distress signal - Fantastic stories created with advanced special effects and passion.",1344.73975,/mClzWv7gBqgXfjZXp49Enyoex1v.jpg,2023-08-03,Cosmic Chaos,false,3.3,3
false,/19pr5CzgsBYs67FAJvke8GQxN4g.jpg,[27],1301650,mn,Z Zone,"In a remote corner of the world, a group of troubled youths finds themselves whisked away to a mysterious military base after a series of misbehaviors. Expecting little more than a stern reprimand, they are instead thrust into a world of secrets and shadows.  In a desperate bid for freedom, they must unravel the mysteries of the base and confront the sinister forces that lurk in the shadows. But with time running out and danger lurking around every corner, the odds of survival grow slimmer by the minute.  Courage, strength, and sacrifice, would they finally escape the clutches of the base and emerge from the darkness into the light?",1296.4256249999999,/s6kFtdxfTC4xR8yDGbIjTgGEcFI.jpg,2025-02-07,Z Zone,false,7.6,9
false,/k5F9jYfcsp4EFDVaUvyWd1uyXsX.jpg,"[16,28]",1297763,ja,ニンジャバットマン対ヤクザリーグ,"The Batman family has returned to the present to discover that Japan has disappeared, and a giant island - Hinomoto - is now in the sky over Gotham City.  At the top sit the Yakuza, a group of superpowered individuals who reign without honor or humanity and look suspiciously like the Justice League. Now, it’s up to Batman and his allies to save Gotham!",1222.743125,/sVVT6GYFErVv0Lcc9NvqCu0iOxO.jpg,2025-03-17,Batman Ninja vs. Yakuza League,false,6.7,56
false,/2siOHQYDG7gCQB6g69g2pTZiSia.jpg,"[10751,14]",447273,en,Snow White,"Princess Snow White flees the castle when the Evil Queen, in her jealousy over Snow White's inner beauty, tries to kill her. Deep into the dark woods, she stumbles upon seven magical dwarves and a young thief named Jonathan. Together, they strive to survive the Queen's relentless pursuit and aspire to take back the kingdom in the process...",1114.221625,/xWWg47tTfparvjK0WJNX4xL8lW2.jpg,2025-03-19,Snow White,false,4.6,249
false,null,"[28,10752]",1373723,en,The Codes of War,"War stories about family, ethics and honor include the true story of two U.S. Marines who in a span of six seconds, must stand their ground to stop a suicide truck bomb, a Navy Corpsman who attempts to hold on to his humanity, and a WW2 soldier who gets separated from his squad and is forced to re-evaluate his code.",1046.893625,/oXeiQAfRK90pxxhP5iKPXQqAIN1.jpg,2025-03-20,The Codes of War,false,0,0
false,/2n7lYEeIbucsEQCswRcVB6ZYmMP.jpg,"[878,12,28]",777443,en,The Electric State,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick.",932.4646250000001,/1TZ9Er1xEAKizzKKqYVgJIhNkN2.jpg,2025-03-07,The Electric State,false,6.644,711
false,/zo8CIjJ2nfNOevqNajwMRO6Hwka.jpg,"[16,12,10751,35]",1241982,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",862.096125,/aLVkiINlIeCkcZIzb7XHzPYgO6L.jpg,2024-11-21,Moana 2,false,7.1,2040
